time,eventcode,uuid,computername,eventtype,keywords,logname,message,opcode,recordnumber,sourcename,taskcategory,type,insert_time,network_information_source_network_address,network_information_workstation_name,new_logon_account_domain,new_logon_account_name,subject_account_domain,subject_account_name,raw
1525108499000,4624,fc2f8767-9917-40ce-b1b2-19ac4ec80e76,laptop-70.wong.com,0,Audit Success,Security,An account was successfully logged on.,Info,1920306769,Microsoft Windows security auditing.,Logon,Information,10/04/2018 12:42:12 AM,198.49.63.55,desktop-tonyfreeman,stephens.biz,tonyfreeman@acme.com,elliott.net,tonyfreeman,10/04/2018 12:42:12 AM LogName= Security SourceName= Microsoft Windows security auditing. EventCode= 4624 EventType= 0 Type= Information ComputerName= laptop-70.wong.com TaskCategory= Logon OpCode= Info RecordNumber= 1920306769 Keywords= Audit Success Message= An account was successfully logged on.    Subject:   Account Name:  tonyfreeman   Account Domain:  elliott.net   New Logon:   Account Name:  tonyfreeman@acme.com   Account Domain:  stephens.biz    Network Information:   Workstation Name:  desktop-tonyfreeman   Network Address:  198.49.63.55
1551582650000,4624,7d82817c-fc68-49ce-be41-8217a95e1f7c,lt-95.melton.com,0,Audit Success,Security,An account was successfully logged on.,Info,474033423,Microsoft Windows security auditing.,Logon,Information,02/28/2019 12:49:04 AM,192.175.54.118,desktop-gonzalespeter,blair.com,gonzalespeter@acme.com,taylor.com,gonzalespeter,02/28/2019 12:49:04 AM LogName= Security SourceName= Microsoft Windows security auditing. EventCode= 4624 EventType= 0 Type= Information ComputerName= lt-95.melton.com TaskCategory= Logon OpCode= Info RecordNumber= 474033423 Keywords= Audit Success Message= An account was successfully logged on.    Subject:   Account Name:  gonzalespeter   Account Domain:  taylor.com   New Logon:   Account Name:  gonzalespeter@acme.com   Account Domain:  blair.com    Network Information:   Workstation Name:  desktop-gonzalespeter   Network Address:  192.175.54.118
1551625433000,4624,c660626e-b973-4d88-b0ff-3b1d183c9a71,email-28.norman.com,0,Audit Success,Security,An account was successfully logged on.,Info,116152764,Microsoft Windows security auditing.,Logon,Information,02/28/2019 01:27:14 AM,192.88.100.26,desktop-zacharydavis,mcbride-shelton.com,zacharydavis@acme.com,clark.com,zacharydavis,02/28/2019 01:27:14 AM LogName= Security SourceName= Microsoft Windows security auditing. EventCode= 4624 EventType= 0 Type= Information ComputerName= email-28.norman.com TaskCategory= Logon OpCode= Info RecordNumber= 116152764 Keywords= Audit Success Message= An account was successfully logged on.    Subject:   Account Name:  zacharydavis   Account Domain:  clark.com   New Logon:   Account Name:  zacharydavis@acme.com   Account Domain:  mcbride-shelton.com    Network Information:   Workstation Name:  desktop-zacharydavis   Network Address:  192.88.100.26
1551760436000,4624,81ada84b-feb3-4209-b669-d973de59e4a6,srv-58.lee.info,0,Audit Success,Security,An account was successfully logged on.,Info,134669246,Microsoft Windows security auditing.,Logon,Information,02/28/2019 01:27:14 AM,192.31.206.96,desktop-donna48,bell.info,donna48@acme.com,campbell.com,donna48,02/28/2019 01:27:14 AM LogName= Security SourceName= Microsoft Windows security auditing. EventCode= 4624 EventType= 0 Type= Information ComputerName= srv-58.lee.info TaskCategory= Logon OpCode= Info RecordNumber= 134669246 Keywords= Audit Success Message= An account was successfully logged on.    Subject:   Account Name:  donna48   Account Domain:  campbell.com   New Logon:   Account Name:  donna48@acme.com   Account Domain:  bell.info    Network Information:   Workstation Name:  desktop-donna48   Network Address:  192.31.206.96
1548630137000,4624,2c0222f1-96f6-4051-988d-1e67f1c1ac71,srv-93.barron.info,0,Audit Success,Security,An account was successfully logged on.,Info,24976800615,Microsoft Windows security auditing.,Logon,Information,02/28/2019 12:49:05 AM,198.60.45.62,desktop-kathryn18,alexander-richardson.info,kathryn18@acme.com,moore.biz,kathryn18,02/28/2019 12:49:05 AM LogName= Security SourceName= Microsoft Windows security auditing. EventCode= 4624 EventType= 0 Type= Information ComputerName= srv-93.barron.info TaskCategory= Logon OpCode= Info RecordNumber= 24976800615 Keywords= Audit Success Message= An account was successfully logged on.    Subject:   Account Name:  kathryn18   Account Domain:  moore.biz   New Logon:   Account Name:  kathryn18@acme.com   Account Domain:  alexander-richardson.info    Network Information:   Workstation Name:  desktop-kathryn18   Network Address:  198.60.45.62
1548601261000,4624,19fed27d-6412-4392-b7e3-9ced12b25c6e,web-48.calhoun.com,0,Audit Success,Security,An account was successfully logged on.,Info,5148030967,Microsoft Windows security auditing.,Logon,Information,02/28/2019 12:41:07 AM,203.7.156.238,desktop-brittany66,scott.com,brittany66@acme.com,huffman.com,brittany66,02/28/2019 12:41:07 AM LogName= Security SourceName= Microsoft Windows security auditing. EventCode= 4624 EventType= 0 Type= Information ComputerName= web-48.calhoun.com TaskCategory= Logon OpCode= Info RecordNumber= 5148030967 Keywords= Audit Success Message= An account was successfully logged on.    Subject:   Account Name:  brittany66   Account Domain:  huffman.com   New Logon:   Account Name:  brittany66@acme.com   Account Domain:  scott.com    Network Information:   Workstation Name:  desktop-brittany66   Network Address:  203.7.156.238
1548601321000,4624,4426ee9c-6e13-4494-9cd9-0ad12ea58ffb,db-83.branch.com,0,Audit Success,Security,An account was successfully logged on.,Info,10666662,Microsoft Windows security auditing.,Logon,Information,02/28/2019 12:49:13 AM,169.229.166.218,desktop-wayne93,young.com,wayne93@acme.com,jones.com,wayne93,02/28/2019 12:49:13 AM LogName= Security SourceName= Microsoft Windows security auditing. EventCode= 4624 EventType= 0 Type= Information ComputerName= db-83.branch.com TaskCategory= Logon OpCode= Info RecordNumber= 10666662 Keywords= Audit Success Message= An account was successfully logged on.    Subject:   Account Name:  wayne93   Account Domain:  jones.com   New Logon:   Account Name:  wayne93@acme.com   Account Domain:  young.com    Network Information:   Workstation Name:  desktop-wayne93   Network Address:  169.229.166.218
1548630075000,4624,4db43ead-f058-48f4-8ac1-12a1cd0d35a3,laptop-69.contreras.com,0,Audit Success,Security,An account was successfully logged on.,Info,4777129897,Microsoft Windows security auditing.,Logon,Information,02/28/2019 12:41:05 AM,192.88.98.77,desktop-daniel09,sanford.com,daniel09@acme.com,york.biz,daniel09,02/28/2019 12:41:05 AM LogName= Security SourceName= Microsoft Windows security auditing. EventCode= 4624 EventType= 0 Type= Information ComputerName= laptop-69.contreras.com TaskCategory= Logon OpCode= Info RecordNumber= 4777129897 Keywords= Audit Success Message= An account was successfully logged on.    Subject:   Account Name:  daniel09   Account Domain:  york.biz   New Logon:   Account Name:  daniel09@acme.com   Account Domain:  sanford.com    Network Information:   Workstation Name:  desktop-daniel09   Network Address:  192.88.98.77
1560989349000,4624,5607eff5-275e-401c-8013-4c492f5ccf9e,email-59.gallagher.org,0,Audit Success,Security,An account was successfully logged on.,Info,966741532,Microsoft Windows security auditing.,Logon,Information,06/24/2019 03:56:21 PM,192.11.190.6,desktop-martineztimothy,taylor.com,martineztimothy@acme.com,mcintyre-west.org,martineztimothy,06/24/2019 03:56:21 PM LogName= Security SourceName= Microsoft Windows security auditing. EventCode= 4624 EventType= 0 Type= Information ComputerName= email-59.gallagher.org TaskCategory= Logon OpCode= Info RecordNumber= 966741532 Keywords= Audit Success Message= An account was successfully logged on.    Subject:   Account Name:  martineztimothy   Account Domain:  mcintyre-west.org   New Logon:   Account Name:  martineztimothy@acme.com   Account Domain:  taylor.com    Network Information:   Workstation Name:  desktop-martineztimothy   Network Address:  192.11.190.6
1560989350000,4624,1231751d-60cd-49d7-9bb4-06a8aac5db37,email-84.brown.net,0,Audit Success,Security,An account was successfully logged on.,Info,557668355,Microsoft Windows security auditing.,Logon,Information,06/24/2019 03:56:20 PM,203.0.96.145,desktop-sean04,curtis-jenkins.org,sean04@acme.com,cisneros.com,sean04,06/24/2019 03:56:20 PM LogName= Security SourceName= Microsoft Windows security auditing. EventCode= 4624 EventType= 0 Type= Information ComputerName= email-84.brown.net TaskCategory= Logon OpCode= Info RecordNumber= 557668355 Keywords= Audit Success Message= An account was successfully logged on.    Subject:   Account Name:  sean04   Account Domain:  cisneros.com   New Logon:   Account Name:  sean04@acme.com   Account Domain:  curtis-jenkins.org    Network Information:   Workstation Name:  desktop-sean04   Network Address:  203.0.96.145
1560989350000,4624,666aef87-2932-40d4-af65-5ccb074f2e89,email-58.miller.com,0,Audit Success,Security,An account was successfully logged on.,Info,897175476,Microsoft Windows security auditing.,Logon,Information,06/24/2019 03:56:21 PM,207.61.162.173,desktop-mjones,lewis.net,mjones@acme.com,smith.com,mjones,06/24/2019 03:56:21 PM LogName= Security SourceName= Microsoft Windows security auditing. EventCode= 4624 EventType= 0 Type= Information ComputerName= email-58.miller.com TaskCategory= Logon OpCode= Info RecordNumber= 897175476 Keywords= Audit Success Message= An account was successfully logged on.    Subject:   Account Name:  mjones   Account Domain:  smith.com   New Logon:   Account Name:  mjones@acme.com   Account Domain:  lewis.net    Network Information:   Workstation Name:  desktop-mjones   Network Address:  207.61.162.173
1560989355000,4624,7aed1474-caec-41f0-bd9d-ff346eec6066,db-19.thomas.com,0,Audit Success,Security,An account was successfully logged on.,Info,390627383,Microsoft Windows security auditing.,Logon,Information,06/24/2019 03:56:21 PM,203.27.14.149,desktop-sylvialee,peters.com,sylvialee@acme.com,thompson.com,sylvialee,06/24/2019 03:56:21 PM LogName= Security SourceName= Microsoft Windows security auditing. EventCode= 4624 EventType= 0 Type= Information ComputerName= db-19.thomas.com TaskCategory= Logon OpCode= Info RecordNumber= 390627383 Keywords= Audit Success Message= An account was successfully logged on.    Subject:   Account Name:  sylvialee   Account Domain:  thompson.com   New Logon:   Account Name:  sylvialee@acme.com   Account Domain:  peters.com    Network Information:   Workstation Name:  desktop-sylvialee   Network Address:  203.27.14.149
1560989355000,4624,b8bb608d-9a9d-4d70-b97f-79758a3008aa,laptop-41.coleman.org,0,Audit Success,Security,An account was successfully logged on.,Info,18696819,Microsoft Windows security auditing.,Logon,Information,06/24/2019 03:56:17 PM,192.0.23.154,desktop-richardsondeanna,burgess.info,richardsondeanna@acme.com,hill.net,richardsondeanna,06/24/2019 03:56:17 PM LogName= Security SourceName= Microsoft Windows security auditing. EventCode= 4624 EventType= 0 Type= Information ComputerName= laptop-41.coleman.org TaskCategory= Logon OpCode= Info RecordNumber= 18696819 Keywords= Audit Success Message= An account was successfully logged on.    Subject:   Account Name:  richardsondeanna   Account Domain:  hill.net   New Logon:   Account Name:  richardsondeanna@acme.com   Account Domain:  burgess.info    Network Information:   Workstation Name:  desktop-richardsondeanna   Network Address:  192.0.23.154
1560989356000,4624,859186de-fa62-4ce1-a577-59935df5208b,email-68.king.com,0,Audit Success,Security,An account was successfully logged on.,Info,745285940,Microsoft Windows security auditing.,Logon,Information,06/24/2019 03:56:17 PM,169.255.145.206,desktop-mgray,holder.org,mgray@acme.com,monroe.net,mgray,06/24/2019 03:56:17 PM LogName= Security SourceName= Microsoft Windows security auditing. EventCode= 4624 EventType= 0 Type= Information ComputerName= email-68.king.com TaskCategory= Logon OpCode= Info RecordNumber= 745285940 Keywords= Audit Success Message= An account was successfully logged on.    Subject:   Account Name:  mgray   Account Domain:  monroe.net   New Logon:   Account Name:  mgray@acme.com   Account Domain:  holder.org    Network Information:   Workstation Name:  desktop-mgray   Network Address:  169.255.145.206
1560989358000,4624,3344ab74-ec83-45df-a342-d4076c473cbe,laptop-03.davis.org,0,Audit Success,Security,An account was successfully logged on.,Info,424868952,Microsoft Windows security auditing.,Logon,Information,06/24/2019 03:56:21 PM,198.50.24.81,desktop-xnguyen,knight.info,xnguyen@acme.com,carroll.com,xnguyen,06/24/2019 03:56:21 PM LogName= Security SourceName= Microsoft Windows security auditing. EventCode= 4624 EventType= 0 Type= Information ComputerName= laptop-03.davis.org TaskCategory= Logon OpCode= Info RecordNumber= 424868952 Keywords= Audit Success Message= An account was successfully logged on.    Subject:   Account Name:  xnguyen   Account Domain:  carroll.com   New Logon:   Account Name:  xnguyen@acme.com   Account Domain:  knight.info    Network Information:   Workstation Name:  desktop-xnguyen   Network Address:  198.50.24.81
